Code,species,Seed ID,Source code,Client,Project,Removed,Cleaned,Seedlot notes,100 sd wt (g),Seed per g,Available g,Stored g,Reserved g,100 sd wt (lb),Seed per lb,Available lb,Stored lb,Reserved lb,Available Sd,Stored Sd,Reserved Sd,Purity,Fill,Viability (TZ),Germ,Moisture,Est. PLS,Ecoregion,Prov. SZ,Tracking ID,date_collected,Site Name,Elevation,Latitude,Longitude,Forest/Park (near),Collection Notes,Last used date,Last action,Last used wt (g),Last used wt (lb),Last used project,FLAP,BSE
,,CHUM-RST-HILLSCREEK-23,-RST-3035/<2-G0-1543-HILLSCREEK-23,RST,Hills Creek,FALSE,TRUE,,,,0.37,0.37,0,,,0.000816,0.000816,0,,,,,,,,,,Cascades,30-35/<2,23-154,18-Sep-23,Larrison Creek Trail,1543,43.688961,-122.448517,Willamette,,12/17/2024,add (store),0.37,,Hills Creek,FALSE,0
,,ROWO-RST-HCRHSTE-23,ROWO-RST-3035/<2-G0-78-HCRHSTE-23,RST,HCRHST,FALSE,TRUE,,1.951,51.26,5.355,5.355,0,0.004301,,0.011806,0.011806,0,274,274,0,,,,,,,Cascades,30-35/<2,,19-Sep-23,HCRHST E,78,45.69933,-121.667406,,,10/29/2024,add (store),5.355,,HCRHST,FALSE,0
,,RST21-44,OLDO-RST-3035/0306-19-HCRHST-E-21,RST,HCRHST,FALSE,TRUE,,0.199,502.51,4.097,4.097,0,0.000439,,0.009032,0.009032,0,2059,2058,0,,,,,,,,,,1-Jan-21,,,,,,,1/21/2025,strat/sow,-1.8,,HCRHST,FALSE,0
,,ERLA6-RST-HILLSCREEK-23,ERLA6-RST-3035/<2-G0-2200-HILLSCREEK-23,RST,Hills Creek,FALSE,TRUE,,0.036,2777.78,4.098,4.098,0,0.000079,,0.009035,0.009035,0,11383,11383,0,,,,,,,Cascades,30-35/<2,23-172,20-Sep-23,Middle Fork district,2200,43.700208,-122.465084,Willamette,,12/17/2024,add (store),4.098,,Hills Creek,FALSE,0
,,SIDO-RST-MARYSPEAK-23,SIDO-RST-3035/<2-G0-3997-MARYSPEAK-23,RST,Mary's Peak,FALSE,TRUE,,0.082,1219.51,0.905,0.905,0,0.000181,,0.001995,0.001995,0,1104,1103,0,,,,,,,Coast Range,30-35/<2,23-121,24-Aug-23,,3997,44.503762,-123.553058,,,12/17/2024,add (store),0.905,,Mary's Peak,FALSE,0
,,PRVU-RST-MBS-23,PRVU-RST-2530/<2-G0-1225-MBS-23,RST,MBS,FALSE,TRUE,,0.076,1315.79,12.144,12.144,0,0.000168,,0.026773,0.026773,0,15979,15978,0,,,,,,,North Cascades,25-30/<2,23-278,30-Aug-23,,1225,48.661465,-121.731618,Mt. Baker - Snoqualmie,,12/17/2024,add (store),12.144,,MBS,TRUE,0
ABGR,Abies grandis,ABGR-06--xx-01,ABGR-RST-XX/XX-G0-XX-XX,RST,HWY 35,FALSE,TRUE,Collection year unknown,2.97,33.67,8.17,8.17,0,0.006548,,0.018012,0.018012,0,275,275,0,,,,,,,,,,1-Jan-01,,,,,Mt. Hood,!imported; ,2001,add (store),8.17,,,FALSE,0
ACMI2,Achillea millefolium,0611-04,ACMI2-06-661/662-700-3040-BFI-11,RST,Unassigned - RST,FALSE,TRUE,,0.02,5000,1.35,1.35,0,0.000044,,0.002976,0.002976,0,6750,6750,0,,,,,,,,30-40/xx,,1-Jan-11,,,,,,!imported from SS; ,5/5/2024,import,-0.012,,,FALSE,0
ACMI2,Achillea millefolium,RST19-29,ACMI2-RST-XX/XX-G1+-XX-HERITAGE-19,RST,Cape Meares,FALSE,TRUE,,0.004,25000,191.984,191.984,0,0.000009,,0.423252,0.423252,0,4799600,4799600,0,,88,,,,4223648,,,,1-Jan-19,,,,,,!imported; ,5/8/2024,strat/sow,-0.04,,Cape Meares,FALSE,0
ACMI2,Achillea millefolium,ACMI2-RST-OR97-22-1,ACMI2-RST-20-25/3-6-G0-4088-OR97-22,RST,HWY 97,FALSE,TRUE,,0.02,5000,13.98,13.98,0,0.000044,,0.030821,0.030821,0,69900,69900,0,95,90,,,,62910,,20-25/3-6,,1-Jan-22,,4088,44.002349,-121.404452,Deschutes,!imported; ,5/5/2024,import,-0.92,,,FALSE,0
ACMI2,Achillea millefolium,ACMI2-RST-HEBO-23,ACMI2-RST-3035/<2-G0-3171-HEBO-23,RST,Mt. Hebo (RST),FALSE,TRUE,,0.013,7692.31,45.273,45.273,0,0.000029,,0.09981,0.09981,0,348254,348253,0,96.5,,,,15.9,,,30-35/<2,23-288A,4-Aug-23,Hebo,3171,45.213353,-123.755515,Siuslaw,Coast range eco?,7/15/2024,add (store),45.273,,Mt. Hebo (RST),FALSE,0
ACMI2,Achillea millefolium,ACMI2-RST-MTHEBO-23,ACMI2-RST-3035/<2-G0-3172-MTHEBO-23,RST,Mt. Hebo (RST),FALSE,TRUE,,0.011,9090.91,127.19,127.19,0,0.000024,,0.280406,0.280406,0,1156273,1156272,0,71,87,,,38.7,1005958,Coast Range,30-35/<2,23-304,11-Oct-23,Hebo,3172,45.213353,-123.755515,,,10/15/2024,add (store),127.19,,Mt. Hebo (RST),FALSE,0
ACMIO,Achillea millefolium var. occidentalis,ACMIO-RST-ENTERPRISE-23,ACMIO-RST-2530/<2-G0-2523-ENTERPRISE-23,RST,MBS,FALSE,TRUE,,0.015,6666.67,16.442,16.442,0,0.000033,,0.036248,0.036248,0,109613,109613,0,93.6,,,,12,,North Cascades,25-30/<2,23-288,26-Aug-23, Huckleberry Peak Rd.,2523,47.40785,-121.369859,,,6/29/2024,add (store),16.442,,Enterprise,TRUE,0
ACTR,Achlys triphylla,ACTR-RST-HILLSCRK-22-1,ACTR-RST-3035/<2-G0-525-Hillscrk-22,RST,Hills Creek,FALSE,TRUE,,,,0.07,0.07,0,,,0.000154,0.000154,0,,,,,100,,,,,,30-35/<2,,1-Jan-22,,500,43.662603,-122.693968,Umpqua,!imported; ,2022,add (store),0.07,,,FALSE,0
ACTR,Achlys triphylla,ACTR-RST-HILLSCRK-21-1,ACTR-RST-3035/<2-G0-1500-Hillscrk-21,RST,Hills Creek,FALSE,FALSE,,,,0,0,0,,,0,0,0,,,,,87.5,,,,,,30-35/<2,,1-Jan-21,,1500,,,Willamette,!imported; ,2021,add (store),0,,,FALSE,0
ACOC3,Achnatherum occidentale,Will be assigned at BSE,Will be assigned at BSE,RST,Cervidae,FALSE,FALSE,,,,0,0,0,,,0,0,0,,,,,,,,,,,20-25/3-6,,1-Jan-22,,3270,43.594901,-115.973107,,!imported; ,2022,add (store),0,,,FALSE,-1
